[Fri Jun 01 2018 00:37:41 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token (| Script: file:///home/pi/smart-mirror/index.html Line: 35
[Fri Jun 01 2018 00:38:27 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token (| Script: file:///home/pi/smart-mirror/index.html Line: 35
[Fri Jun 01 2018 00:39:40 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token (| Script: file:///home/pi/smart-mirror/index.html Line: 35
[Sun Jun 03 2018 17:28:32 GMT+0900 (KST)] Uncaught Error: listen EADDRINUSE :::4000| Script: events.js Line: 160
[Sun Jun 03 2018 17:28:32 GMT+0900 (KST)] Uncaught Error: listen EADDRINUSE :::4000| Script: events.js Line: 160
[Sun Jun 03 2018 17:28:33 GMT+0900 (KST)] Uncaught Error: listen EADDRINUSE :::4000| Script: events.js Line: 160
[Tue Jun 05 2018 16:41:52 GMT+0900 (KST)] Uncaught Error: Can't set headers after they are sent.| Script: _http_outgoing.js Line: 344
[Tue Jun 05 2018 16:42:54 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Tue Jun 05 2018 16:45:33 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Tue Jun 05 2018 16:51:03 GMT+0900 (KST)] Uncaught Error: Can't set headers after they are sent.| Script: _http_outgoing.js Line: 344
[Tue Jun 05 2018 21:20:49 GMT+0900 (KST)] Uncaught Error: listen EADDRINUSE :::4000| Script: events.js Line: 160
[Tue Jun 05 2018 21:21:34 GMT+0900 (KST)] Uncaught Error: listen EADDRINUSE :::4000| Script: events.js Line: 160
[Tue Jun 05 2018 22:06:40 GMT+0900 (KST)] Uncaught ReferenceError: cofig is not defined| Script: file:///home/pi/smart-mirror/plugins/light/service.js Line: 189
[Tue Jun 05 2018 22:08:09 GMT+0900 (KST)] Uncaught ReferenceError: cofig is not defined| Script: file:///home/pi/smart-mirror/plugins/light/service.js Line: 189
[Tue Jun 05 2018 22:08:13 GMT+0900 (KST)] Uncaught ReferenceError: cofig is not defined| Script: file:///home/pi/smart-mirror/plugins/light/service.js Line: 189
[Tue Jun 05 2018 22:10:06 GMT+0900 (KST)] Uncaught ReferenceError: cofig is not defined| Script: file:///home/pi/smart-mirror/plugins/light/service.js Line: 189
[Tue Jun 05 2018 22:11:05 GMT+0900 (KST)] Uncaught ReferenceError: cofig is not defined| Script: file:///home/pi/smart-mirror/plugins/light/service.js Line: 189
[Mon Jun 11 2018 08:56:12 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:56:12 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:56:12 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:56:12 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:56:12 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:56:12 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:57:03 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:57:03 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:57:03 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:57:03 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:57:03 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:57:03 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:58:58 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:58:58 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:58:58 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:58:58 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:58:58 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Mon Jun 11 2018 08:58:58 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
[Wed Jun 20 2018 12:10:18 GMT+0900 (KST)] Uncaught SyntaxError: Unexpected token u in JSON at position 0| Script: file:///home/pi/smart-mirror/index.html Line: 1
